# AutoJS6 global inventory
# ts=Wed Sep 16 2026 13:50:12 GMT+0800 (GMT+08:00)
# views: this@topLevel{object}=SAME | global{object}=SAME | (function(){return this})(){object}=SAME | Function('return this')(){object}=SAME | runtime.topLevelScope{object}=SAME | engines.myEngine().scope{undefined}!=diff(false) | this.scope{undefined}!=diff(false)
# selfRef: global.global===global:true | 4级链===global:true | this.global===this:true
# selfTag=[object global] ctor=Object
# counts: ownPropertyNames=650 Object.keys=560 for-in=560
# protoTag=[object Object]
# name	typeof	ctor
newWebSocket	function	Function
web	object	Object
$web	object	Object
WebSocket	function	Function
s13n	object	Object
$s13n	object	Object
cvt	object	Object
$cvt	object	Object
fmt	object	Object
$fmt	object	Object
log	function	Function
verbose	function	Function
warn	function	Function
print	function	Function
err	function	Function
openConsole	function	Function
showConsole	function	Function
clearConsole	function	Function
launchConsole	function	Function
console	object	-
$console	object	-
plugins	function	Function
$plugins	function	Function
Arrayx	object	Object
Numberx	object	Object
randomInt	function	Function
randomFloat	function	Function
Mathx	object	Object
jsox	function	Function
$jsox	function	Function
open	function	Function
files	object	Object
$files	object	Object
crypto	object	Object
$crypto	object	Object
RootAutomator	function	Function
engines	object	Object
$engines	object	Object
floaty	object	Object
$floaty	object	Object
storages	object	Object
$storages	object	Object
device	object	Object
$device	object	Object
recorder	function	Function
$recorder	function	Function
toast	function	Function
$toast	function	Function
media	object	Object
$media	object	Object
sensors	object	Object
$sensors	object	Object
base64	object	Object
$base64	object	Object
notice	function	Function
$notice	function	Function
shizuku	function	Function
$shizuku	function	Function
opencc	function	Function
$opencc	function	Function
mime	function	Function
$mime	function	Function
sysprops	function	Function
$sysprops	function	Function
sqlite	function	Function
$sqlite	function	Function
zip	function	Function
$zip	function	Function
nanoid	function	Function
$nanoid	function	Function
pinyin	function	Function
$pinyin	function	Function
pinyin4j	function	Function
$pinyin4j	function	Function
mediainfo	function	Function
$mediainfo	function	Function
__exitIfError__	function	Function
__asGlobal__	function	Function
global	object	Object
__engine__	object	-
ResultAdapter	function	Object
structuredClone	function	Function
Module	function	Function
invPath	undefined	-
pv	undefined	-
ifin	undefined	-
pn	undefined	-
n	undefined	-
pAbsent	undefined	-
pFound	undefined	-
b	undefined	-
a	undefined	-
inForin	undefined	-
inOwn	undefined	-
probeList	undefined	-
t	string	String
val	string	String
name	string	String
m	number	Number
head	string	String
nother	number	Number
nu	number	Number
nz	number	-
no	number	Number
nf	number	Number
k	string	String
forin	object	Array
own	object	Array
selfRef	object	Array
same	boolean	-
i	number	Number
vs	object	Array
cands	object	Array
lines	object	Array
g	object	Object
result	object	Object
__TASK_ARGS_PATH	string	String
__TASK_ID	string	String
__SPAWN_SRC	string	String
__INJ	string	String
__spawnSub	function	Function
__reportProgress	function	Function
tag	function	Function
ctor	function	Function
# typeofStats: function=518 object=97 undefined=13 null=0 other=22
# --- probe (name / inOwnPropertyNames / inForIn / typeof) ---
P	ui	own	object
P	$ui	own	object
P	sleep	own	function
P	images	own	object
P	app	own	object
P	device	own	object
P	selector	own	function
P	continuation	own	object
P	global	own	object
P	runtime	own	object
P	threads	own	object
P	files	own	object
P	http	own	object
P	colors	own	object
P	floaty	own	object
P	dialogs	own	object
P	console	own	object
P	events	own	object
P	engines	own	object
P	activity	absent	undefined
P	importClass	own	function
P	importPackage	own	function
P	importJava	absent	undefined
P	JavaAdapter	own	function
P	sync	own	function
P	toast	own	function
P	log	own	function
P	exit	own	function
P	random	own	function
P	setClip	own	function
P	getClip	own	function
P	keys	own	object
P	storages	own	object
P	media	own	object
P	sensors	own	object
P	ocr	own	function
P	web	own	object
P	timers	own	object
P	automator	own	object
P	auto	own	function
P	click	own	function
P	press	own	function
P	swipe	own	function
P	gestures	own	function
P	Android	absent	undefined
P	Packages	own	object
P	java	own	object
P	javax	own	object
P	org	own	object
P	com	own	object
P	android	own	object
P	$id	absent	undefined
P	$text	absent	undefined
P	$desc	absent	undefined
P	$type	absent	undefined
P	$select	absent	undefined
P	isUiThread	own	function
P	quickSettings	own	function
P	requiresApi	own	function
P	requiresAutojsVersion	own	function
P	require	own	function
P	module	absent	undefined
P	exports	absent	undefined
P	typeof	absent	undefined
P	undefined	own	undefined
P	NaN	own	number
P	Infinity	own	number
P	arguments	absent	undefined
P	eval	own	function
P	JSON	own	object
P	Object	own	function
P	Function	own	function
P	Math	own	object
P	Date	own	function
P	Array	own	function
P	String	own	function
P	Number	own	function
P	Boolean	own	function
P	parseInt	own	function
P	parseFloat	own	function
P	setTimeout	own	function
P	setInterval	own	function
P	clearTimeout	own	function
P	clearInterval	own	function
P	Promise	own	function
P	Symbol	own	function
P	Proxy	own	function
P	Reflect	own	object
P	Map	own	function
P	Set	own	function
P	WeakMap	own	function
P	Error	own	function
P	RegExp	own	function
P	imports	absent	undefined
P	Packages	own	object
P	scope	absent	undefined
P	context	own	object
P	execute	absent	undefined
P	enumerate	absent	undefined
P	ArrayBuffer	own	function
# probeFound=84 absent=activity,importJava,Android,$id,$text,$desc,$type,$select,module,exports,typeof,arguments,imports,scope,execute,enumerate
